stamp_sec,stamp_nanosec,x,y,yaw
25,294000000,-1.3850201137209854,-1.4999965425963657,3.203703958022691e-05
25,328000000,-1.3795803007276204,-1.499996443697486,3.211127549018965e-05
25,362000000,-1.3741403768806046,-1.4999962930265627,3.21577441319896e-05
25,396000000,-1.3687003346616353,-1.4999961329873912,3.2193039666762694e-05
25,430000000,-1.3632602051291087,-1.4999959751080638,3.2236962388249314e-05
25,464000000,-1.3578200773531273,-1.4999958198550496,3.228091554312378e-05
25,498000000,-1.352379918360057,-1.4999956493078839,3.231311399976268e-05
25,532000000,-1.3469397902671414,-1.4999954585655224,3.23220717718802e-05
25,566000000,-1.3414998066938075,-1.4999952938055454,3.234866527015325e-05
25,600000000,-1.3360599129552218,-1.4999951731056858,3.240612847383961e-05
25,634000000,-1.3306200844408398,-1.4999950596928477,3.246568577258175e-05
25,668000000,-1.3251802153157004,-1.4999949757126576,3.254558799101952e-05
25,702000000,-1.3197403028280212,-1.4999948378499783,3.259266065034919e-05
25,736000000,-1.314300284074376,-1.4999946294372586,3.260076086289259e-05
25,770000000,-1.3088602311466382,-1.4999944044585394,3.2594984121830705e-05
25,804000000,-1.3034201691788059,-1.4999942206015864,3.2616767258226273e-05
25,838000000,-1.2979801369739647,-1.4999940732365407,3.266730771799543e-05
25,872000000,-1.2925401519603978,-1.4999939300444187,3.2717190700186205e-05
25,906000000,-1.2871001386505176,-1.4999938374183617,3.2798267744543164e-05
25,940000000,-1.2816601874840696,-1.499993741163215,3.288189742961936e-05
25,974000000,-1.276220082985707,-1.4999936402317302,3.2953970831795544e-05
26,8000000,-1.2707800396074271,-1.4999934789229277,3.3000306770537666e-05
26,42000000,-1.2653400593688708,-1.4999933099719933,3.303768177067253e-05
26,76000000,-1.2598999839415401,-1.499993149989673,3.307851494093398e-05
26,110000000,-1.2544599152201876,-1.4999929812439599,3.311518371367276e-05
26,144000000,-1.249019946607104,-1.4999927781847897,3.312597974981015e-05
26,178000000,-1.2435800234265408,-1.4999925880184042,3.31428652647243e-05
26,212000000,-1.2381401152635243,-1.499992421529729,3.317012397587053e-05
26,246000000,-1.2327001729326896,-1.499992302354882,3.32292767458211e-05
26,280000000,-1.2272602216198873,-1.499992178509705,3.328889525757759e-05
26,314000000,-1.2218201936225133,-1.4999920569438425,3.334728708733618e-05
26,348000000,-1.2163801776995145,-1.4999919025641646,3.3389531118429064e-05
26,382000000,-1.210940154521173,-1.4999917017170592,3.340235446082307e-05
26,416000000,-1.2055001530983833,-1.499991489207532,3.3409719082206504e-05
26,450000000,-1.2000601380814835,-1.4999913415144825,3.345660641666707e-05
26,484000000,-1.1946201717892997,-1.4999911965857096,3.350948978508575e-05
26,518000000,-1.1891801866746168,-1.4999911032716646,3.3591661334296175e-05
26,552000000,-1.183740213829949,-1.4999909806797742,3.3661282180190735e-05
26,586000000,-1.1783002231202886,-1.499990805681993,3.369457315253248e-05
26,620000000,-1.172860162776458,-1.4999906071712512,3.371068462453499e-05
26,654000000,-1.167420074371607,-1.4999904430908222,3.375210267572643e-05
26,688000000,-1.161980018315987,-1.4999903153644363,3.3822685813817834e-05
26,722000000,-1.1565400010748965,-1.4999901838404912,3.388582481570723e-05
26,756000000,-1.1510999471169394,-1.4999899737628972,3.3901850956024686e-05
26,790000000,-1.1456600089790259,-1.499989745357328,3.389475562332673e-05
26,824000000,-1.1402201148924187,-1.4999895344476464,3.3904912470341994e-05
26,858000000,-1.1347801670336117,-1.4999894103232967,3.395592375169904e-05
26,892000000,-1.129340185445767,-1.4999893785540614,3.4075523201373835e-05
26,926000000,-1.1239001778456237,-1.4999893127689026,3.417261760679997e-05
26,960000000,-1.1184601622900627,-1.4999891621604227,3.421704039876647e-05
26,994000000,-1.1130201386866556,-1.499988964227827,3.4233893101890805e-05
27,28000000,-1.1075801451302918,-1.4999887553741138,3.424470980584242e-05
27,62000000,-1.102140182711236,-1.4999885584965051,3.426321522154818e-05
27,96000000,-1.0967001844850226,-1.4999883746879785,3.4290228269858384e-05
27,130000000,-1.091260083033476,-1.4999882535468818,3.435606912699346e-05
27,164000000,-1.0858200052707196,-1.4999881289191057,3.4426300586601744e-05
27,198000000,-1.080380025525953,-1.4999879962608096,3.449376595191546e-05
27,232000000,-1.0749400392081319,-1.4999878133371312,3.452802522101489e-05
27,266000000,-1.0695000993312427,-1.4999876363201414,3.4562822518087974e-05
27,300000000,-1.064060204172491,-1.499987464233988,3.460383001979375e-05
27,334000000,-1.0586202914525562,-1.4999872578769584,3.4623248258870354e-05
27,368000000,-1.053180275985078,-1.499987047999114,3.463601264558889e-05
27,402000000,-1.0477402018983866,-1.4999869206670662,3.470032370386382e-05
27,436000000,-1.0423002052255879,-1.4999868226605944,3.478862956314108e-05
27,470000000,-1.0368601779994402,-1.4999866760108795,3.483656902211936e-05
27,504000000,-1.0314201729417076,-1.4999865066527893,3.4869562040500296e-05
27,538000000,-1.025980198566369,-1.499986306025552,3.48833952171145e-05
27,572000000,-1.020540133755944,-1.499986119071807,3.490382901065979e-05
27,606000000,-1.0151001209222075,-1.4999859822709394,3.496280546045964e-05
27,640000000,-1.0096600900207229,-1.4999858590906001,3.502732595851475e-05
27,674000000,-1.0042199860584577,-1.4999857170635973,3.5081831494762913e-05
27,708000000,-0.9987799990053691,-1.4999854846821445,3.508171568296269e-05
27,742000000,-0.9933400870527651,-1.4999852628381294,3.5087456381583496e-05
27,776000000,-0.9879001892974834,-1.4999850668177128,3.511098548710736e-05
27,810000000,-0.982460254345904,-1.4999849415586037,3.5178822036088655e-05
27,844000000,-0.9770202631297216,-1.4999848471367196,3.527390116500896e-05
27,878000000,-0.9715802208935823,-1.4999846992418124,3.533376794382649e-05
27,912000000,-0.9661401640567392,-1.4999845380490928,3.538041339057286e-05
27,946000000,-0.9606999933626831,-1.4999843810810882,3.543084895165802e-05
27,980000000,-0.9552599563428698,-1.4999841654093065,3.545437861827299e-05
28,14000000,-0.9498199970598973,-1.4999839080128827,3.543802826268943e-05
28,48000000,-0.9443800817495819,-1.499983671113559,3.544234028329065e-05
28,82000000,-0.9389401874363972,-1.49998347845988,3.5464156963819585e-05
28,116000000,-0.9335002639112819,-1.4999834246385855,3.5577958520615115e-05
28,150000000,-0.9280602789170996,-1.4999833550275736,3.568131524216997e-05
28,184000000,-0.9226202588052279,-1.4999832220979346,3.5734075558187325e-05
28,218000000,-0.9171801282776588,-1.499983036471365,3.575980613857013e-05
28,252000000,-0.9117399967997759,-1.4999828590476603,3.5791757870648335e-05
28,286000000,-0.9063000014030015,-1.4999826498839637,3.5813322978230583e-05
28,320000000,-0.9008600677135671,-1.4999824340879726,3.582337933193909e-05
28,354000000,-0.8954201784376713,-1.4999822321052936,3.584375385714289e-05
28,388000000,-0.8899802970759516,-1.4999820654672262,3.588478817694685e-05
28,422000000,-0.8845403707460142,-1.4999819652556732,3.59712806550317e-05
28,456000000,-0.8791003431397346,-1.4999818763662924,3.606871537523022e-05
28,490000000,-0.8736602103594323,-1.4999817208339714,3.6118895479473866e-05
28,524000000,-0.8682201131772689,-1.4999815436494974,3.616755591251146e-05
28,558000000,-0.862780059737807,-1.4999812984892797,3.616719547578172e-05
28,592000000,-0.8573400396880562,-1.4999810515935552,3.6164765313662495e-05
28,626000000,-0.8519000660227118,-1.499980821669713,3.617549936654323e-05
28,660000000,-0.8464601379922825,-1.4999806062862713,3.619411319575108e-05
28,694000000,-0.8410202278374207,-1.4999804472502742,3.6242876727176856e-05
28,728000000,-0.8355803046258491,-1.4999803954157602,3.6365373480863486e-05
28,762000000,-0.8301402919728949,-1.499980347064557,3.648332204801594e-05
28,796000000,-0.8247002731251815,-1.499980234957756,3.6556393392764145e-05
28,830000000,-0.8192602098871595,-1.4999800354404653,3.657670987394107e-05
28,864000000,-0.8138201166514158,-1.4999798129664341,3.657688922798319e-05
28,898000000,-0.8083801251878282,-1.499979597647149,3.6596212971104565e-05
28,932000000,-0.8029400860828602,-1.4999793973029527,3.6614815079827456e-05
28,966000000,-0.7975000069823,-1.499979221060424,3.6652513014016394e-05
29,0,-0.7920600439737794,-1.4999791358639532,3.674912233369813e-05
29,34000000,-0.7866201511814589,-1.4999790447331451,3.684387481116026e-05
29,68000000,-0.7811802469449804,-1.4999789053917887,3.690890914224628e-05
29,102000000,-0.7757403141646617,-1.4999786617752893,3.691327559615643e-05
29,136000000,-0.7703003518187228,-1.4999783707989607,3.688566008257241e-05
29,170000000,-0.7648603184660677,-1.499978098628802,3.6868827129984906e-05
29,204000000,-0.7594202533715759,-1.499977908245587,3.690436521943303e-05
29,238000000,-0.7539801820276112,-1.4999777933522542,3.6990973077925274e-05
29,272000000,-0.748540145836873,-1.4999776912364247,3.708592746709111e-05
29,306000000,-0.7431001565278458,-1.499977579145831,3.717035217426978e-05
29,340000000,-0.7376602012526985,-1.4999774533754238,3.7248275814897505e-05
29,374000000,-0.7322202477209712,-1.4999772202965473,3.7261203583925015e-05
29,408000000,-0.7267802457920153,-1.499976938409313,3.7227418294481404e-05
29,442000000,-0.7213401447625309,-1.4999767091856373,3.723218857757582e-05
29,476000000,-0.7159001229287555,-1.4999765634858253,3.728840316486241e-05
29,510000000,-0.7104601561359428,-1.4999764291692157,3.735354430056879e-05
29,544000000,-0.705020234573661,-1.4999762925166715,3.7415917700592675e-05
29,578000000,-0.6995802383386723,-1.4999761539778138,3.747867852826841e-05
29,612000000,-0.6941402568226908,-1.4999760047269823,3.754063202957965e-05
29,646000000,-0.6887002669469098,-1.4999758041188007,3.756764003105812e-05
29,680000000,-0.6832602724817249,-1.4999755619592108,3.757187733123279e-05
29,714000000,-0.6778202940701237,-1.4999753337323631,3.7582635524003323e-05
29,748000000,-0.6723802001102755,-1.4999751520386235,3.762378338803596e-05
29,782000000,-0.6669401616573938,-1.4999750430338616,3.7713379992175295e-05
29,816000000,-0.6615001875329433,-1.4999749329566316,3.780418309019228e-05
29,850000000,-0.6560602154599201,-1.499974798507219,3.787736419627514e-05
29,884000000,-0.650620213399414,-1.499974569795193,3.789297292354867e-05
29,918000000,-0.6451802262643535,-1.4999742966682532,3.7885448929889215e-05
29,952000000,-0.6397402412710478,-1.4999740370109822,3.787940842748309e-05
29,986000000,-0.6343001976858087,-1.4999738695555342,3.7931659252031614e-05
30,20000000,-0.6288602185555195,-1.4999737337771488,3.800691875960443e-05
30,54000000,-0.6234202854788273,-1.4999735950233155,3.807192629698234e-05
30,88000000,-0.6179803195396433,-1.4999734222355456,3.811504730317091e-05
30,122000000,-0.6125402475863293,-1.4999732289947902,3.8139781236012624e-05
30,156000000,-0.6071002561176108,-1.4999730393653576,3.817601268684431e-05
30,190000000,-0.6016602266233979,-1.4999728567953772,3.8211462025512545e-05
30,224000000,-0.5962202365120397,-1.4999726768355355,3.825600709886021e-05
30,258000000,-0.5907801081992318,-1.4999725051817137,3.829741178174714e-05
30,292000000,-0.5853400570969792,-1.4999723330916064,3.834780984683554e-05
30,326000000,-0.5799001209618909,-1.499972160150891,3.8399981334972894e-05
30,360000000,-0.5744602271159597,-1.4999719908728597,3.844940115886194e-05
30,394000000,-0.5690203394784014,-1.4999717921812759,3.8486857445351467e-05
30,428000000,-0.5635803861838903,-1.4999715785426273,3.851153380084265e-05
30,462000000,-0.5581403925614878,-1.4999713735517233,3.8544938047228966e-05
30,496000000,-0.5527003595257733,-1.499971175931025,3.858179504957606e-05
30,530000000,-0.5472602928586091,-1.4999710351324707,3.865219088837763e-05
30,564000000,-0.5418202421421816,-1.4999709461403252,3.8763700813009744e-05
30,598000000,-0.5363802316951395,-1.499970839856377,3.8857157903521236e-05
30,632000000,-0.5309402483012003,-1.499970630684639,3.889289900241757e-05
30,666000000,-0.5255002425935494,-1.4999703276633394,3.886074574856957e-05
30,700000000,-0.5200602423286217,-1.4999699779595321,3.879697151214002e-05
30,734000000,-0.5146202556738227,-1.4999696769928157,3.875910729550589e-05
30,768000000,-0.5091802734095471,-1.49996953511582,3.882172410974953e-05
30,802000000,-0.5037402698544712,-1.4999695297130498,3.89717841085034e-05
30,836000000,-0.49830029335674697,-1.4999695276153489,3.912542695023264e-05
30,870000000,-0.49286030966490907,-1.4999694231594578,3.9217484781246214e-05
30,904000000,-0.4874202921483807,-1.4999691718361792,3.921656566212539e-05
30,938000000,-0.481980289008954,-1.4999688756813125,3.919149449969611e-05
30,972000000,-0.4765402898846957,-1.4999685559775406,3.915281695151048e-05
31,6000000,-0.4711002745073226,-1.4999683592874822,3.9183172306690604e-05
31,40000000,-0.4656602725185136,-1.4999682681133135,3.929494177261678e-05
31,74000000,-0.46022029234176487,-1.4999681848595818,3.940631036226982e-05
31,108000000,-0.45478032741877666,-1.499967996329426,3.9455980015139496e-05
31,142000000,-0.4493402202862805,-1.499967794019318,3.948420049591906e-05
31,176000000,-0.4439001739061822,-1.4999675267846828,3.9488523983502724e-05
